slug,name,kind,bin_iin
astana-logistic,Астана Логистик ТОО,company,999900000001
sary-arka-media,Сары-Арка Медиа ТОО,company,999900000002
turan-consulting,Туран Консалтинг ТОО,company,999900000003
kaspiy-trade,Каспий Трейд ТОО,company,999900000004
alatau-soft,Алатау Софт ТОО,company,999900000005
zhetisu-audit,Жетысу Аудит ТОО,company,999900000006
nura-design,Нура Дизайн ТОО,company,999900000007
esil-stroy,Есиль Строй ТОО,company,999900000008
baiterek-pravo,Байтерек Право ТОО,company,999900000009
seitzhanov,ИП Сейтжанов А.К.,person,999900000010
